osmid,y,x,street_count,highway,ref,geometry
4191807089,4599945.027617003,548880.5091673385,3,,,POINT (548880.5091673385 4599945.027617003)
211284761,4599959.199328248,548918.8368522666,3,,,POINT (548918.8368522666 4599959.199328248)
210962203,4599654.429405975,548540.7304404702,3,,,POINT (548540.7304404702 4599654.429405975)
1778693102,4599516.853121453,548391.5559615793,4,,,POINT (548391.5559615793 4599516.853121453)
211283281,4599792.634503393,548936.2735851815,3,,,POINT (548936.2735851815 4599792.634503393)
6135208347,4599713.099193423,548979.2925206271,3,,,POINT (548979.2925206271 4599713.099193423)
211284516,4599922.082913483,548940.0231948841,4,,,POINT (548940.0231948841 4599922.082913483)
211284519,4599912.389485972,548923.5500871423,3,,,POINT (548923.5500871423 4599912.389485972)
1675798693,4599988.875668737,549057.4844036364,3,,,POINT (549057.4844036364 4599988.875668737)
211284520,4599870.512567497,548948.3719907679,3,,,POINT (548948.3719907679 4599870.512567497)
244035696,4599861.347095351,548834.62909268,1,,,POINT (548834.62909268 4599861.347095351)
1584764126,4599814.668678214,548924.1720018726,3,,,POINT (548924.1720018726 4599814.668678214)
1462982174,4600034.82989404,549052.6760789378,3,,,POINT (549052.6760789378 4600034.82989404)
211285767,4599879.77794428,548965.5653480295,3,,,POINT (548965.5653480295 4599879.77794428)
211308050,4599624.051905254,549037.3903878098,3,,,POINT (549037.3903878098 4599624.051905254)
244035610,4599659.59157255,548910.0284075583,3,,,POINT (548910.0284075583 4599659.59157255)
244035691,4599729.599875347,549162.1895129061,3,,,POINT (549162.1895129061 4599729.599875347)
211309060,4599887.801950685,549180.2512019607,4,,,POINT (549180.2512019607 4599887.801950685)
244035693,4599833.137833474,549202.1344434639,3,,,POINT (549202.1344434639 4599833.137833474)
1675798710,4599855.6979660895,549123.9888780515,3,,,POINT (549123.9888780515 4599855.6979660895)
1763940353,4599924.84368391,549244.1440804657,3,,,POINT (549244.1440804657 4599924.84368391)
1675798722,4599986.50158041,549139.2103994128,3,,,POINT (549139.2103994128 4599986.50158041)
211311470,4599638.611794891,549228.5183896737,3,,,POINT (549228.5183896737 4599638.611794891)
243000947,4599583.447785383,549115.3442136882,3,,,POINT (549115.3442136882 4599583.447785383)
211316921,4600265.10720508,548879.2880878004,3,,,POINT (548879.2880878004 4600265.10720508)
2745478281,4600303.393757982,548893.0810514849,2,,,POINT (548893.0810514849 4600303.393757982)
224599593,4600277.412256741,548990.9182181952,3,,,POINT (548990.9182181952 4600277.412256741)
211316924,4600289.02451083,549015.2419004788,3,,,POINT (549015.2419004788 4600289.02451083)
213682107,4600446.421631954,549235.9751022737,3,,,POINT (549235.9751022737 4600446.421631954)
